School,City,State,Conference,Division
Texas A&M University–Commerce,Commerce,Texas,Lone Star Conference,II
Stonehill College,Easton,Massachusetts,Northeast-10 Conference,II
Spring Hill College,Mobile,Alabama,Southern Intercollegiate Athletic Conference,II
Southwestern Oklahoma State University,Weatherford,Oklahoma,Great American Conference,II
Southwest Minnesota State University,Marshall,Minnesota,Northern Sun Intercollegiate Conference,II
Southwest Baptist University,Bolivar,Missouri,Great Lakes Valley Conference,II
Southern Wesleyan University,Central,South Carolina,Conference Carolinas,II
Southern New Hampshire University,Manchester,New Hampshire,Northeast-10 Conference,II
Southern Nazarene University,Bethany,Oklahoma,Great American Conference,II
University of Southern Indiana,Evansville,Indiana,Great Lakes Valley Conference,II
Southern Connecticut State University,New Haven,Connecticut,Northeast-10 Conference,II
Southern Arkansas University,Magnolia,Arkansas,Great American Conference,II
Southeastern Oklahoma State University,Durant,Oklahoma,Great American Conference,II
South Dakota School of Mines and Technology,Rapid City,South Dakota,Rocky Mountain Athletic Conference,II
University of South Carolina Aiken,Aiken,South Carolina,Peach Belt Conference,II
Sonoma State University,Rohnert Park,California,California Collegiate Athletic Association,II
Slippery Rock University of Pennsylvania,Slippery Rock,Pennsylvania,Pennsylvania State Athletic Conference,II
University of Sioux Falls,Sioux Falls,South Dakota,Northern Sun Intercollegiate Conference,II
Simon Fraser University,Burnaby,British Columbia,Great Northwest Athletic Conference,II
Shorter University,Rome,Georgia,Gulf South Conference,II
Shippensburg University of Pennsylvania,Shippensburg,Pennsylvania,Pennsylvania State Athletic Conference,II
Shepherd University,Shepherdstown,West Virginia,Pennsylvania State Athletic Conference,II
Shaw University,Raleigh,North Carolina,Central Intercollegiate Athletic Association,II
Seton Hill University,Greensburg,Pennsylvania,Pennsylvania State Athletic Conference,II
Seattle Pacific University,Seattle,Washington,Great Northwest Athletic Conference,II
University of the Sciences,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,II
Savannah State University,Savannah,Georgia,Southern Intercollegiate Athletic Conference,II
San Francisco State University,San Francisco,California,California Collegiate Athletic Association,II
Salem University,Salem,West Virginia,Independent,II
St. Thomas Aquinas College,Sparkill,New York,East Coast Conference,II
College of Saint Rose,Albany,New York,Northeast-10 Conference,II
Saint Michael's College,Colchester,Vermont,Northeast-10 Conference,II
St. Mary's University,San Antonio,Texas,Lone Star Conference,II
Saint Martin's University,Lacey,Washington,Great Northwest Athletic Conference,II
Saint Leo University,St. Leo,Florida,Sunshine State Conference,II
St. Edward's University,Austin,Texas,Lone Star Conference,II
St. Cloud State University,St. Cloud,Minnesota,Northern Sun Intercollegiate Conference,II
Saint Augustine's University,Raleigh,North Carolina,Central Intercollegiate Athletic Association,II
Saint Anselm College,Goffstown,New Hampshire,Northeast-10 Conference,II
Saginaw Valley State University,University Center,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Rollins College,Winter Park,Florida,Sunshine State Conference,II
Rogers State University,Claremore,Oklahoma,Mid-America Intercollegiate Athletics Association,II
Rockhurst University,Kansas City,Missouri,Great Lakes Valley Conference,II
Roberts Wesleyan College,North Chili,New York,East Coast Conference,II
Regis University,Denver,Colorado,Rocky Mountain Athletic Conference,II
Quincy University,Quincy,Illinois,Great Lakes Valley Conference,II
Queens University of Charlotte,Charlotte,North Carolina,South Atlantic Conference,II
Queens College,Flushing,New York,East Coast Conference,II
Purdue University Northwest,Hammond,Indiana,Great Lakes Intercollegiate Athletic Conference,II
